monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
6008301302,Humber River : Concession 5 Adjala Twp Ag-9,43.97032276,-79.88775423,359,49.435506963788306,2.5,0.001,510.0
6008301402,"Humber River West : Co,  Road 14 N-E Of Wildfield Ag-11",43.82161551,-79.72517136,468,154.50825854700855,3.475,0.001,29000.0
6008301502,Humber River : Hwy 427 West Side Tu-1,43.72766626,-79.60033261,306,57.12150653594772,4.9,0.002,835.0
6008301602,Humber River : Hwy 427 East Side Tu-2,43.72771001,-79.60020598,270,58.472396296296296,4.35,0.001,800.0
6008301702,"Salt Creek : Mcvean Dr,  W. Of Castlemore (Ag-11)",43.78942876,-79.70986098,608,40.66427302631579,0.75,0.0,920.0
6008301802,Humber River 83018,43.92614412,-79.80320742,1963,121.33475975547631,14.4,0.0,9890.0
6008301802,Humber River : Upstream Of Hwy 50 & Old Church Rd,43.92614414,-79.80320748,8149,79.6550899906737,6.19,-18.0,9389.0
6008301902,Humber River 83019,43.65143464,-79.49132861,828,338.1472850241546,24.259999999999998,0.0,6689.0
6008301902,"Humber River : Old Mill Rd,  Etobicoke",43.65143464,-79.49132861,25370,204.01742438459954,3.91,-65.1,290000.0
6008302002,Humber River 83020,43.81157551,-79.62750773,3964,113.84231733905146,13.3,0.0,4900.0
6008302102,Humber River East : Rutherford Road,43.81930764,-79.59005623,69,74.95829565217392,9.0,-1.05,667.0
6008302402,East Humber : At 150M Upstr. Of Islington & Thistlewwo,43.79029689,-79.58497136,109,85.33404623853212,8.26,-10.4,734.0
6008302502,"Humber : At Old Mjr. Mackenzie,  325M E. Of Hwy 27",43.83017514,-79.62863573,29,64.43969655172414,10.4,0.0012,500.0
6008302602,"Humber : At Huntington Rd,  300M N. Of Kirby",43.86302414,-79.66920536,28,68.03428571428572,9.225,0.005,511.0
6008302702,"Humber : At Duffy'S Lane,  1.4Km N. Of King Rd",43.88309776,-79.77167198,26,72.53192307692308,7.99,0.01,492.0
6008302802,"Trib To Humber : At Humber Stn Sdrd,  650M S. Of Castleder",43.88396064,-79.79184623,27,64.87839259259259,8.53,0.0016,485.0
6008302902,Humber : At Castlederg Rd. 700M W. Of Duffy'S Lan,43.89405401,-79.79292036,28,65.50733928571428,6.6,0.007,502.0
6008303002,Centreville Creek : Humber In Albion Hills Cons. Area,43.92837214,-79.82875873,29,64.46862068965517,6.0,0.01,504.0
6008303102,"Humber : At Patterson Rd.,  20M E. Of 6Th Line",43.93715851,-79.84057123,28,64.31071428571428,6.74,0.01,501.0
