activity_datetime,characteristicname,count,mean,median,min,max,year,month,month_name
1966-10-31,Dissolved oxygen (DO),24,8.416666666666666,8.5,4.0,12.0,1966,10,October
1966-10-31,Kjeldahl nitrogen,42,5.4435714285714285,1.825,0.13,23.1,1966,10,October
1966-10-31,Specific conductance,26,765.7307692307693,653.0,0.0,1530.0,1966,10,October
1966-10-31,"Temperature, water",25,9.5,10.0,5.0,13.5,1966,10,October
1966-10-31,"Total Phosphorus, mixed forms",42,5139.314285714286,0.68,0.01,22451.0,1966,10,October
1966-11-30,Chloride,28,96.82142857142857,62.0,9.0,608.0,1966,11,November
1966-11-30,Dissolved oxygen (DO),30,9.533333333333333,9.5,5.0,14.0,1966,11,November
1966-11-30,Kjeldahl nitrogen,34,5.431764705882353,1.475,0.13,28.0,1966,11,November
1966-11-30,Specific conductance,30,892.8,707.5,452.0,3000.0,1966,11,November
1966-11-30,"Temperature, water",30,8.416666666666666,9.0,4.0,12.0,1966,11,November
1966-11-30,"Total Phosphorus, mixed forms",30,1009.9739000000001,0.335,0.007,10327.0,1966,11,November
1966-12-31,Chloride,30,132.2,80.5,12.0,522.0,1966,12,December
1966-12-31,Dissolved oxygen (DO),30,8.7,8.5,5.0,15.0,1966,12,December
1966-12-31,Kjeldahl nitrogen,35,4.492571428571429,1.8,0.39,23.1,1966,12,December
1966-12-31,Specific conductance,28,973.2857142857143,796.0,304.0,2330.0,1966,12,December
1966-12-31,"Temperature, water",30,3.36,2.0,0.0,11.0,1966,12,December
1966-12-31,"Total Phosphorus, mixed forms",35,692.6731428571428,0.34,0.02,10621.0,1966,12,December
1967-01-31,Chloride,26,138.26923076923077,72.0,2.0,467.0,1967,1,January
1967-01-31,Dissolved oxygen (DO),26,9.192307692307692,9.0,5.0,13.0,1967,1,January
1967-01-31,Kjeldahl nitrogen,30,6.441333333333334,2.925,0.13,18.0,1967,1,January
1967-01-31,Specific conductance,18,1119.7777777777778,1003.0,532.0,1964.0,1967,1,January
1967-01-31,"Temperature, water",26,2.230769230769231,2.0,0.0,8.0,1967,1,January
1967-01-31,"Total Phosphorus, mixed forms",30,43.36033333333333,0.185,0.02,1294.0,1967,1,January
1967-02-28,Chloride,33,285.57575757575756,122.0,24.0,2302.0,1967,2,February
1967-02-28,Dissolved oxygen (DO),36,8.777777777777779,9.0,4.0,12.0,1967,2,February
1967-02-28,Kjeldahl nitrogen,35,4.8345714285714285,1.8,0.46,19.0,1967,2,February
1967-02-28,Specific conductance,33,1402.3333333333333,1013.0,430.0,6062.0,1967,2,February
1967-02-28,"Temperature, water",36,2.013888888888889,2.0,0.0,5.0,1967,2,February
1967-02-28,"Total Phosphorus, mixed forms",29,84.38748275862069,0.07,0.007,1281.0,1967,2,February
1967-03-31,Chloride,38,70.55263157894737,50.5,9.0,358.0,1967,3,March
1967-03-31,Dissolved oxygen (DO),38,10.421052631578947,11.0,6.0,14.0,1967,3,March
1967-03-31,Kjeldahl nitrogen,43,3.845581395348837,1.8,0.52,38.0,1967,3,March
1967-03-31,Specific conductance,38,709.2105263157895,610.0,240.0,1800.0,1967,3,March
1967-03-31,"Temperature, water",38,2.9342105263157894,2.25,1.0,8.0,1967,3,March
1967-03-31,"Total Phosphorus, mixed forms",41,67.75975609756098,0.28,0.02,1471.0,1967,3,March
1967-04-30,Chloride,39,69.23076923076923,43.0,16.0,170.0,1967,4,April
1967-04-30,Dissolved oxygen (DO),30,9.8,10.0,6.0,15.0,1967,4,April
1967-04-30,Kjeldahl nitrogen,35,4.822857142857143,1.2,0.52,18.5,1967,4,April
1967-04-30,Specific conductance,24,850.75,856.5,483.0,1205.0,1967,4,April
1967-04-30,"Temperature, water",30,8.016666666666667,8.5,4.0,12.0,1967,4,April
1967-04-30,"Total Phosphorus, mixed forms",33,362.79939393939395,0.27,0.02,10327.0,1967,4,April
1967-05-31,Chloride,38,77.84210526315789,52.0,11.0,209.0,1967,5,May
1967-05-31,Dissolved oxygen (DO),36,9.61111111111111,9.0,5.0,14.0,1967,5,May
1967-05-31,Kjeldahl nitrogen,41,4.689024390243903,1.1,0.52,23.2,1967,5,May
1967-05-31,Specific conductance,36,780.8611111111111,687.0,450.0,1391.0,1967,5,May
1967-05-31,"Temperature, water",36,11.308333333333334,11.1,7.0,15.0,1967,5,May
1967-05-31,"Total Phosphorus, mixed forms",29,463.41172413793106,0.12,0.01,11634.0,1967,5,May
1967-06-30,Chloride,40,70.15,47.5,11.0,221.0,1967,6,June
1967-06-30,Dissolved oxygen (DO),38,8.157894736842104,8.0,3.0,13.0,1967,6,June
1967-06-30,Kjeldahl nitrogen,41,5.144146341463415,1.16,0.65,25.0,1967,6,June
1967-06-30,Specific conductance,39,724.6666666666666,600.0,414.0,1385.0,1967,6,June
1967-06-30,"Temperature, water",38,20.392105263157895,20.75,12.0,24.0,1967,6,June
1967-06-30,"Total Phosphorus, mixed forms",41,2689.1863414634145,0.35,0.03,21797.0,1967,6,June
1967-07-31,Chloride,29,74.6896551724138,48.0,5.0,241.0,1967,7,July
1967-07-31,Dissolved oxygen (DO),28,8.25,8.0,4.0,13.0,1967,7,July
1967-07-31,Kjeldahl nitrogen,35,4.482857142857143,1.65,0.46,21.5,1967,7,July
1967-07-31,Specific conductance,29,772.7586206896551,673.0,444.0,1532.0,1967,7,July
1967-07-31,"Temperature, water",46,20.184782608695652,20.0,17.0,25.0,1967,7,July
1967-07-31,"Total Phosphorus, mixed forms",34,3063.634411764706,5.325,0.02,11961.0,1967,7,July
1967-08-31,Chloride,42,77.16666666666667,48.5,11.0,394.0,1967,8,August
1967-08-31,Dissolved oxygen (DO),41,7.7317073170731705,8.0,0.0,13.0,1967,8,August
1967-08-31,Kjeldahl nitrogen,41,5.335121951219512,1.65,0.39,71.0,1967,8,August
1967-08-31,Specific conductance,42,738.5714285714286,626.0,388.0,2218.0,1967,8,August
1967-08-31,"Temperature, water",41,20.4390243902439,21.0,2.0,25.0,1967,8,August
1967-08-31,"Total Phosphorus, mixed forms",42,2619.167142857143,0.35,0.01,31961.0,1967,8,August
1967-09-30,Chloride,24,100.54166666666667,100.0,15.0,547.0,1967,9,September
1967-09-30,Dissolved oxygen (DO),23,7.6521739130434785,8.0,0.0,12.0,1967,9,September
1967-09-30,Kjeldahl nitrogen,24,6.423749999999999,1.1,0.07,73.0,1967,9,September
1967-09-30,Specific conductance,24,836.0833333333334,705.0,431.0,3000.0,1967,9,September
1967-09-30,"Temperature, water",23,14.478260869565217,14.0,12.0,18.0,1967,9,September
1967-09-30,"Total Phosphorus, mixed forms",24,1017.8148749999999,0.2,0.007,10327.0,1967,9,September
1967-10-31,Chloride,30,71.4,52.0,11.0,240.0,1967,10,October
1967-10-31,Dissolved oxygen (DO),30,8.966666666666667,9.0,4.0,12.0,1967,10,October
1967-10-31,Kjeldahl nitrogen,30,3.4743333333333335,0.875,0.28,31.0,1967,10,October
1967-10-31,Specific conductance,30,739.2333333333333,673.5,462.0,1470.0,1967,10,October
1967-10-31,"Temperature, water",30,12.333333333333334,13.0,5.5,18.0,1967,10,October
1967-10-31,"Total Phosphorus, mixed forms",30,1785.5503333333334,0.19,0.01,12124.0,1967,10,October
1967-11-30,Chloride,36,75.41666666666667,50.0,12.0,221.0,1967,11,November
1967-11-30,Dissolved oxygen (DO),36,8.777777777777779,9.0,4.0,13.0,1967,11,November
1967-11-30,Kjeldahl nitrogen,36,3.3966666666666665,0.9099999999999999,0.33,21.5,1967,11,November
1967-11-30,Specific conductance,36,809.0555555555555,721.5,500.0,1305.0,1967,11,November
1967-11-30,"Temperature, water",36,4.222222222222222,3.5,0.0,9.5,1967,11,November
1967-11-30,"Total Phosphorus, mixed forms",36,474.3883333333333,0.14500000000000002,0.01,12614.0,1967,11,November
1967-12-31,Chloride,28,99.78571428571429,60.0,14.0,383.0,1967,12,December
1967-12-31,Dissolved oxygen (DO),28,8.642857142857142,9.0,6.0,12.0,1967,12,December
1967-12-31,Kjeldahl nitrogen,28,4.210714285714286,1.2999999999999998,0.2,25.0,1967,12,December
1967-12-31,Specific conductance,28,822.75,721.0,458.0,1760.0,1967,12,December
1967-12-31,"Temperature, water",28,3.1785714285714284,2.75,1.0,7.5,1967,12,December
1967-12-31,"Total Phosphorus, mixed forms",28,1809.2839285714285,0.20500000000000002,0.02,22288.0,1967,12,December
1968-01-31,Chloride,39,191.15384615384616,124.0,12.0,1255.0,1968,1,January
1968-01-31,Dissolved oxygen (DO),37,10.27027027027027,10.0,5.0,13.0,1968,1,January
1968-01-31,Kjeldahl nitrogen,39,5.366923076923077,1.3,0.33,29.7,1968,1,January
1968-01-31,Specific conductance,39,1176.6666666666667,1019.0,529.0,3750.0,1968,1,January
1968-01-31,"Temperature, water",37,1.2837837837837838,1.0,0.0,4.5,1968,1,January
1968-01-31,"Total Phosphorus, mixed forms",39,3007.62,0.28,0.01,22614.0,1968,1,January
1968-02-29,Chloride,30,105.4,66.5,14.0,464.0,1968,2,February
1968-02-29,Dissolved oxygen (DO),28,9.571428571428571,10.0,5.0,13.0,1968,2,February
1968-02-29,Kjeldahl nitrogen,31,5.096774193548387,1.4,0.39,25.0,1968,2,February
1968-02-29,Specific conductance,31,898.258064516129,772.0,504.0,2100.0,1968,2,February
1968-02-29,"Temperature, water",28,1.3214285714285714,1.0,0.0,4.0,1968,2,February
1968-02-29,"Total Phosphorus, mixed forms",31,1350.647741935484,0.32,0.01,21307.0,1968,2,February
1968-03-31,Chloride,37,71.35135135135135,36.0,5.0,273.0,1968,3,March
1968-03-31,Dissolved oxygen (DO),34,10.235294117647058,11.5,3.0,13.0,1968,3,March
1968-03-31,Kjeldahl nitrogen,38,3.211315789473684,1.625,0.39,23.0,1968,3,March
1968-03-31,Specific conductance,38,590.3157894736842,515.5,215.0,1630.0,1968,3,March
1968-03-31,"Temperature, water",34,2.7941176470588234,3.0,0.0,6.0,1968,3,March
1968-03-31,"Total Phosphorus, mixed forms",38,1065.0382368421053,0.49,0.003,20654.0,1968,3,March
1968-04-30,Chloride,47,68.06382978723404,43.0,1.0,182.0,1968,4,April
1968-04-30,Dissolved oxygen (DO),41,8.829268292682928,9.0,4.0,13.0,1968,4,April
1968-04-30,Kjeldahl nitrogen,47,3.421063829787234,1.04,0.19,22.6,1968,4,April
